tweetId,bridge,closed,datetime,time
960384422741606400,The Montlake Bridge,false,2018-02-04T21:27:44.000Z,9:27:41 PM
960383325062877200,The Montlake Bridge,true,2018-02-04T21:23:22.000Z,9:23:20 PM
960344469160706000,The Fremont Bridge,false,2018-02-04T18:48:58.000Z,6:48:55 PM
960343687589851100,The Fremont Bridge,true,2018-02-04T18:45:52.000Z,6:45:50 PM
960308554526675000,The Fremont Bridge,false,2018-02-04T16:26:15.000Z,4:26:11 PM
960307668119244800,The Fremont Bridge,true,2018-02-04T16:22:44.000Z,4:22:41 PM
960304839765848000,The South Park Bridge,false,2018-02-04T16:11:30.000Z,4:11:25 PM
960303384304672800,The South Park Bridge,true,2018-02-04T16:05:43.000Z,4:05:41 PM
960300369376026600,The 1st Ave S Bridge,false,2018-02-04T15:53:44.000Z,3:53:42 PM
960298303161159700,The 1st Ave S Bridge,true,2018-02-04T15:45:31.000Z,3:45:30 PM
960286901193252900,The Montlake Bridge,false,2018-02-04T15:00:13.000Z,3:00:11 PM
960286036143226900,The Montlake Bridge,true,2018-02-04T14:56:46.000Z,2:56:44 PM
960286034851381200,The Ballard Bridge,false,2018-02-04T14:56:46.000Z,2:56:44 PM
960285043330400300,The Ballard Bridge,true,2018-02-04T14:52:50.000Z,2:52:45 PM
960284872978833400,The University Bridge,false,2018-02-04T14:52:09.000Z,2:52:06 PM
960283986944696300,The University Bridge,true,2018-02-04T14:48:38.000Z,2:48:34 PM
960282109997809700,The Fremont Bridge,false,2018-02-04T14:41:10.000Z,2:41:08 PM
960281181303406600,The Fremont Bridge,true,2018-02-04T14:37:29.000Z,2:37:26 PM
960281074046652400,The Lower Spokane St Bridge,false,2018-02-04T14:37:03.000Z,2:37:03 PM
960280313644462100,The University Bridge,false,2018-02-04T14:34:02.000Z,2:34:01 PM
960279215890247700,The University Bridge,true,2018-02-04T14:29:40.000Z,2:29:36 PM
960278561004208100,The Lower Spokane St Bridge,true,2018-02-04T14:27:04.000Z,2:27:01 PM
960266802956652500,The Fremont Bridge,false,2018-02-04T13:40:21.000Z,1:40:18 PM
